run_id,date,script,sha256_16,inputs,outputs,verdict,notes
I-73,2026-09-03,harness50/i73_gender_screening.py,863805a81d962684,cores_v1,harness50/out/I73.json,GO,본추정: 동류교배+판별. n=154123
I-74,2026-09-03,harness50/i74_gender_gates.py,a36e262171d1f234,cores_v1,harness50/out/I74.json,PARTIAL,섹터 구성 게이트 — D002 촉발
I-75,2026-09-03,harness50/i75_gender_adjud_cells.py,be1159238f78b568,cores_v1,harness50/out/I75.json,GO,판별 섹터 셀 재추정
I-76,2026-09-03,harness50/i76_gender_shock.py,e180c52e267cd1e8,cores_v1,harness50/out/I76.json,PARTIAL,충격층 개별 마진 + run-up 진단
I-77,2026-09-03,harness50/i77_exit_power_sample.py,ce552c96fc02ba00,cores_v1,harness50/out/I77.json,PARTIAL,레버 B 실패 (D005)
I-78,2026-09-03,harness50/i78_exit_battery.py,0751fc91824e3b4b,cores_v1,harness50/out/I78.json,PARTIAL,결과 배터리 — exit-ever 불리 발견
I-79,2026-09-03,harness50/i79_shock_joint.py,007e2521b38d7918,cores_v1,harness50/out/I79.json,GO,충격 결합 검정 (D004)
I-80,2026-09-03,harness50/i80_stage_control.py,88dabccfbba4fe36,cores_v1,harness50/out/I80.json,GO,스테이지 점검 (D003)
S-01,2026-09-03,06_code/build_sample_v1.py,5b83f6785878d867,cores_v1,05_data/sample_v1.parquet,OK,정본 표본 동결 (D006) — sha 는 산출 parquet 기준
P001-01,2026-09-03,06_code/p001_01_gmwx_staircase.py,0e77d5f067d0378c,sample_v1(NA+EU),07_analysis/out/P00101.json,PARTIAL,"exit6: 연도만 -0.0192 [-0.0448, 0.0085] → 가법 +0.0080 [-0.0222, 0.0385] → 완전셀 +0.0076 [-0.013, 0.0296] (감쇠 5%); fon: +0.0047"
P001-02,2026-09-03,06_code/p001_02_decomposition_region.py,3bbe6a1fad847c1d,sample_v1(NA+EU),07_analysis/out/P00102.json,GO,"사다리: +0.0696 → +0.0321 → +0.0066 (섹터 경로 54%·스테이지 경로 37%); H8: NA +0.0063 [-0.0067, 0.0211] vs EU -0.0037 [-0.0265, 0.020"
P001-03,2026-09-03,06_code/p001_03_adjudication_naeu.py,86ac40299b3d4c3a,sample_v1(NA+EU),07_analysis/out/P00103.json,GO,"fon +0.0108 [-0.0148, 0.0362] (MDE 3.7pp, 배제); exit_ever -0.0102 [-0.0494, 0.0226] (MDE 5.05pp, 배제); ipo6 -0.0051 [-0.02"
P001-01b,2026-09-03,06_code/p001_01b_headline_staircase.py,188e8ef9de8a7846,"sample_v1(NA+EU,ff=1)",07_analysis/out/P00101b.json,PARTIAL,"사다리 비단조 — 격차는 섹터 셀 내부 현상(§8b), 스테이지가 소거; P001-03 끝점 재현 일치"
P001-04,2026-09-03,06_code/p001_04_stacked_event.py,a8e9c8f26793ad01,cores_v1 보조표+jobs 사건(NA+EU),07_analysis/out/P00104.json,PARTIAL,"원판 — 오염 제외 오적용(처치 포함), 여성 사건 212 붕괴; 원장 보존"
P001-04b,2026-09-03,06_code/p001_04b_stacked_fix.py,5f65ab774bdd1e4d,cores_v1 보조표+jobs 사건(NA+EU),07_analysis/out/P00104b.json,PARTIAL,"정정판 — L2 재가중 +2.32 [0.18,4.49] 0 배제·순열 .025·위약 청정; 부분 승격(§9)"
P001-05,2026-09-03,06_code/p001_05_trackrecord.py,98d38a101a757eee,sample_v1(NA+EU),07_analysis/out/P00105.json,GO,"귀결 A GO — 여성 +4.43 백분위점 [2.13,6.77] 하향 랭킹 교정; 상위 사분위 7.1→8.2%"
