claim_id,exhibit,claim,value,ci95,n,source_json,json_path,code,sha256_16,path_status
C001,Table2,동류교배(투자사×연도 셀) [표시단위는 원고 참조],0.0667,"[5.56, 7.95]",154123,harness50/out/I73.json,estimates.homophily,harness50/i73_gender_screening.py,863805a81d962684,valid
C002,Table2,동류교배(+섹터 셀),+3.03pp,"[1.90, 4.25]",154123,harness50/out/I74.json,estimates.cell_cat,harness50/i74_gender_gates.py,a36e262171d1f234,valid
C003,Table3,판별: 후속 gap_ff (스테이지 셀),+0.84pp,"[-1.66, +3.34]",15479,harness50/out/I80.json,estimates.fon_stagecell,harness50/i80_stage_control.py,88dabccfbba4fe36,valid (v1 전시물 — v2 robustness 절 참조)
C004,Table3,exit-ever gap_ff 원계수 (배치 미통제),-6.25pp,"[-11.5, -1.38]",8058,harness50/out/I78.json,estimates.exit_ever,harness50/i78_exit_battery.py,0751fc91824e3b4b,valid
C005,Table3,exit-ever gap_ff (스테이지 셀),-1.75pp,"[-5.29, +1.43]",8058,07_analysis/out/P00110.json,estimates.ladder.GLOBAL.plusstage,06_code/p001_10_gap_ladder.py,,valid (v2 정본 재지정)
C006,Table4,충격 결합 대비 (영입-이탈 DiD) [표시단위는 원고 참조],0.0246,"[+0.46, +4.52]",945,harness50/out/I79.json,estimates.joint_contrast,harness50/i79_shock_joint.py,007e2521b38d7918,valid (v1 전시물 — v2 robustness 절 참조)
C007,Table4,fp-초기단계 배치 연관,+3.84pp,"[2.60, 5.00]",154123,harness50/out/I80.json,estimates.fp_early_assoc,harness50/i80_stage_control.py,88dabccfbba4fe36,valid (v1 전시물 — v2 robustness 절 참조)
C101,Table1,표본: 파트너 귀속 딜 (글로벌/NA+EU) [복합값: 전체/NA+EU],154123 / 127061,-,154123,harness50/out/I73.json,estimates,06_code/build_sample_v1.py,5b83f6785878d867,valid
C102,Table1,커버리지: 파트너 성별 (창업자 83.2%는 C102b) [표시단위는 원고 참조],0.9416,-,154123,harness50/out/I73.json,estimates.cov_partner_gender,harness50/i73_gender_screening.py,863805a81d962684,valid
C103,Table2,E1 사다리 L0 (투자사×연도),+6.96pp,"[5.54, 8.25]",127061,07_analysis/out/P00102.json,estimates.ladder.L0_invyear,06_code/p001_02_decomposition_region.py,,valid
